,Album,Album_num,title,Track_num,Lyrics,Lyric_num
0,Run the Jewels,1,Run the Jewels,0,run run run run run,1
0,Run the Jewels,1,Run the Jewels,0,ay ay ay ay ay ay ay,2
0,Run the Jewels,1,Run the Jewels,0,oh dear what the fuck have we here,3
0,Run the Jewels,1,Run the Jewels,0,these motherfuckers all thorn no rose,4
0,Run the Jewels,1,Run the Jewels,0,egads what a bad dream better not sleep,5
0,Run the Jewels,1,Run the Jewels,0,take a nodoz do some blow,6
0,Run the Jewels,1,Run the Jewels,0,oh shit what the hell have we done,7
0,Run the Jewels,1,Run the Jewels,0,its alive and its hungry as fuck,8
0,Run the Jewels,1,Run the Jewels,0,better hide all the snacks and the dough,9
0,Run the Jewels,1,Run the Jewels,0,but it is out of my control you are shit out of luck,10
0,Run the Jewels,1,Run the Jewels,0,i dont wanna be unfair but the pair we got,11
0,Run the Jewels,1,Run the Jewels,0,beat that weak shit you got true god,12
0,Run the Jewels,1,Run the Jewels,0,blew up the spot with that new bop,13
0,Run the Jewels,1,Run the Jewels,0,crew drops do up ya squad without nuance,14
0,Run the Jewels,1,Run the Jewels,0,i dont wanna sound unkind but the sounds i make,15
0,Run the Jewels,1,Run the Jewels,0,are the sounds of the hounds that are howling,16
0,Run the Jewels,1,Run the Jewels,0,under your bed im here growling,17
0,Run the Jewels,1,Run the Jewels,0,same time under the blanket youre cowering,18
0,Run the Jewels,1,Run the Jewels,0,cowering like cowards cowering in,19
0,Run the Jewels,1,Run the Jewels,0,concrete showers in rikers island,20
0,Run the Jewels,1,Run the Jewels,0,victims we the wolves thats wilding,21
0,Run the Jewels,1,Run the Jewels,0,we often smilin at sights of violence,22
0,Run the Jewels,1,Run the Jewels,0,acting brave and courageous,23
0,Run the Jewels,1,Run the Jewels,0,aint advantageous for health and safety,24
0,Run the Jewels,1,Run the Jewels,0,so when we say run the jewels,25
0,Run the Jewels,1,Run the Jewels,0,just run em baby please dont delay me,26
0,Run the Jewels,1,Run the Jewels,0,and that goes for a guy or lady,27
0,Run the Jewels,1,Run the Jewels,0,the fam goddamn we fuckin crazy,28
0,Run the Jewels,1,Run the Jewels,0,ill pull this pistol,29
0,Run the Jewels,1,Run the Jewels,0,put it on your poodle or your fuckin baby,30
0,Run the Jewels,1,Run the Jewels,0,she clutched the pearls said what in the world,31
0,Run the Jewels,1,Run the Jewels,0,and i wont give up shit,32
0,Run the Jewels,1,Run the Jewels,0,i put the pistol on that poodle and i shot that bitch,33
0,Run the Jewels,1,Run the Jewels,0,run the jewels jewels jewels jewels jewels jewels,34
0,Run the Jewels,1,Run the Jewels,0,run the jewels jewels jewels jewels jewels jewels,35
0,Run the Jewels,1,Run the Jewels,0,ay ay and the crowd chants get that paper run,36
0,Run the Jewels,1,Run the Jewels,0,and the mob says kill that witch run,37
0,Run the Jewels,1,Run the Jewels,0,this city get mad to the max,38
