Album_num,Track_num,Lyric_num,Token_num,Album,Title,Lyrics,POS_Tagged,POS,Token,term_id,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity,html
1,0,1,0,Run the Jewels,Run the Jewels,run run run run run,"[('run', 'VB')]",VB,run,3591,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>run</span>
1,0,1,1,Run the Jewels,Run the Jewels,run run run run run,"[('run', 'VB')]",VB,run,3591,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>run</span>
1,0,1,2,Run the Jewels,Run the Jewels,run run run run run,"[('run', 'VB')]",VB,run,3591,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>run</span>
1,0,1,3,Run the Jewels,Run the Jewels,run run run run run,"[('run', 'VB')]",VB,run,3591,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>run</span>
1,0,1,4,Run the Jewels,Run the Jewels,run run run run run,"[('run', 'VB')]",VB,run,3591,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>run</span>
1,0,2,0,Run the Jewels,Run the Jewels,ay ay ay ay ay ay ay,"[('ay', 'NN')]",NN,ay,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>ay</span>
1,0,2,1,Run the Jewels,Run the Jewels,ay ay ay ay ay ay ay,"[('ay', 'NN')]",NN,ay,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>ay</span>
1,0,2,2,Run the Jewels,Run the Jewels,ay ay ay ay ay ay ay,"[('ay', 'NN')]",NN,ay,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>ay</span>
1,0,2,3,Run the Jewels,Run the Jewels,ay ay ay ay ay ay ay,"[('ay', 'NN')]",NN,ay,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>ay</span>
1,0,2,4,Run the Jewels,Run the Jewels,ay ay ay ay ay ay ay,"[('ay', 'NN')]",NN,ay,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>ay</span>
