Album_num,Track_num,Lyric_num,Token_num,Album,Title,Lyrics,POS_Tagged,POS,Token,term_id,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity,html
2,0,1,0,Run the Jewels 2,Jeopardy,<span class='sent0'> im </span>,"[(im, NN)]",NN,im,2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>im</span>
2,0,1,1,Run the Jewels 2,Jeopardy,<span class='sent0'> gon </span>,"[(gon, NN)]",NN,gon,1776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>gon</span>
2,0,1,2,Run the Jewels 2,Jeopardy,<span class='sent0'> na </span>,"[(na, NNS)]",NNS,na,2777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>na</span>
2,0,1,3,Run the Jewels 2,Jeopardy,<span class='sent-1'> bang </span>,"[(bang, NN)]",NN,bang,282,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,<span class='sent-1'>bang</span>
2,0,1,4,Run the Jewels 2,Jeopardy,<span class='sent0'> this </span>,"[(this, DT)]",DT,this,4308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>this</span>
2,0,1,5,Run the Jewels 2,Jeopardy,<span class='sent-1'> bi**h </span>,"[(bi**h, NN)]",NN,bi**h,389,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,<span class='sent-1'>bitch</span>
2,0,1,6,Run the Jewels 2,Jeopardy,<span class='sent0'> the </span>,"[(the, DT)]",DT,the,4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>the</span>
2,0,1,7,Run the Jewels 2,Jeopardy,<span class='sent0'> fu*k </span>,"[(fu*k, NN)]",NN,fu*k,1665,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>fuck</span>
2,0,1,8,Run the Jewels 2,Jeopardy,<span class='sent0'> out </span>,"[(out, IN)]",IN,out,2950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>out</span>
2,0,2,0,Run the Jewels 2,Jeopardy,<span class='sent0'> you </span>,"[(you, PRP)]",PRP,you,4816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>you</span>
2,0,2,1,Run the Jewels 2,Jeopardy,<span class='sent0'> better </span>,"[(better, RBR)]",RBR,better,369,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>better</span>
