Album_num,Track_num,Lyric_num,Token_num,Album,Title,Lyrics,POS_Tagged,POS,Token,term_id,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity,html
2,0,1,0,Run the Jewels 2,Jeopardy,im gonna bang this bitch the fuck out,"[('im', 'NN')]",NN,im,2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>im</span>
2,0,1,1,Run the Jewels 2,Jeopardy,im gonna bang this bitch the fuck out,"[('gon', 'NN')]",NN,gon,1776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>gon</span>
2,0,1,2,Run the Jewels 2,Jeopardy,im gonna bang this bitch the fuck out,"[('na', 'NNS')]",NNS,na,2777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>na</span>
2,0,1,3,Run the Jewels 2,Jeopardy,im gonna bang this bitch the fuck out,"[('bang', 'NN')]",NN,bang,282,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,<span class='sent-1'>bang</span>
2,0,1,4,Run the Jewels 2,Jeopardy,im gonna bang this bitch the fuck out,"[('this', 'DT')]",DT,this,4308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>this</span>
2,0,1,5,Run the Jewels 2,Jeopardy,im gonna bang this bitch the fuck out,"[('bitch', 'NN')]",NN,bitch,389,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,<span class='sent-1'>bitch</span>
2,0,1,6,Run the Jewels 2,Jeopardy,im gonna bang this bitch the fuck out,"[('the', 'DT')]",DT,the,4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>the</span>
2,0,1,7,Run the Jewels 2,Jeopardy,im gonna bang this bitch the fuck out,"[('fuck', 'NN')]",NN,fuck,1665,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>fuck</span>
2,0,1,8,Run the Jewels 2,Jeopardy,im gonna bang this bitch the fuck out,"[('out', 'IN')]",IN,out,2950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>out</span>
2,0,2,0,Run the Jewels 2,Jeopardy,you better  you might wanna record the other way,"[('you', 'PRP')]",PRP,you,4816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>you</span>
2,0,2,1,Run the Jewels 2,Jeopardy,you better  you might wanna record the other way,"[('better', 'RBR')]",RBR,better,369,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>better</span>
2,0,2,2,Run the Jewels 2,Jeopardy,you better  you might wanna record the other way,"[('you', 'PRP')]",PRP,you,4816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>you</span>
2,0,2,3,Run the Jewels 2,Jeopardy,you better  you might wanna record the other way,"[('might', 'MD')]",MD,might,2624,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>might</span>
2,0,2,4,Run the Jewels 2,Jeopardy,you better  you might wanna record the other way,"[('wan', 'NN')]",NN,wan,4619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>wan</span>
2,0,2,5,Run the Jewels 2,Jeopardy,you better  you might wanna record the other way,"[('na', 'NNS')]",NNS,na,2777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>na</span>
2,0,2,6,Run the Jewels 2,Jeopardy,you better  you might wanna record the other way,"[('record', 'NN')]",NN,record,3422,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,<span class='sent0'>record</span>
2,0,2,7,Run the Jewels 2,Jeopardy,you better  you might wanna record the other way,"[('the', 'DT')]",DT,the,4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>the</span>
2,0,2,8,Run the Jewels 2,Jeopardy,you better  you might wanna record the other way,"[('other', 'JJ')]",JJ,other,2943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<span class='sent0'>other</span>
